ID,LOWER,UPPER,PRED
te79,177148.16,372107.22,274627.7
te80,195229.0,390188.06,292708.53
te81,332019.44,526978.5,429498.97
te82,141209.1,336168.12,238688.61
te83,111391.98,306351.03,208871.5
te84,311652.97,506612.03,409132.5
te85,305970.8,500929.88,403450.34
te86,125614.99,320574.03,223094.52
te87,743156.56,938115.56,840636.06
te88,554623.56,749582.56,652103.06
te89,212335.5,407294.56,309815.03
te90,254076.53,449035.6,351556.06
te91,395657.94,590617.0,493137.47
te92,153235.56,348194.62,250715.1
te93,21265.242,216224.28,118744.766
te94,182378.62,377337.7,279858.16
te95,526736.6,721695.6,624216.1
te96,156696.56,351655.6,254176.08
te97,268642.7,463601.75,366122.22
te98,208109.9,403068.97,305589.44
te99,42224.586,237183.62,139704.11
te100,148355.1,343314.12,245834.61
te101,452472.1,647431.1,549951.6
te102,34647.9,229606.94,132127.42
te103,161442.94,356401.97,258922.45
te104,93898.13,288857.2,191377.66
te105,129260.32,324219.38,226739.84
te106,46034.383,240993.44,143513.9
te107,140600.5,335559.53,238080.02
te108,533741.8,728700.8,631221.3
te109,82659.9,277618.94,180139.42
te110,520043.47,715002.5,617523.0
te111,250217.78,445176.84,347697.3
te112,30793.586,225752.62,128273.11
te113,93363.57,288322.62,190843.1
te114,136404.31,331363.34,233883.83
te115,312812.28,507771.34,410291.8
te116,73038.52,267997.56,170518.05
te117,144702.84,339661.9,242182.38
te118,246254.81,441213.88,343734.34
te119,400390.97,595350.0,497870.5
te120,146202.03,341161.1,243681.56
te121,378408.0,573367.06,475887.53
te122,582119.9,777078.9,679599.4
te123,232767.94,427727.0,330247.47
te124,256921.0,451880.06,354400.53
te125,399703.94,594663.0,497183.47
te126,67323.32,262282.38,164802.84
te127,68023.27,262982.3,165502.8
te128,359961.0,554920.06,457440.53
te129,382295.06,577254.1,479774.6
te130,284396.06,479355.12,381875.6
te131,132371.72,327330.75,229851.23
te132,372992.94,567952.0,470472.47
te133,762809.44,957768.44,860288.94
te134,480080.9,675039.94,577560.44
te135,537414.94,732373.94,634894.44
te136,297183.4,492142.47,394662.94
te137,269930.56,464889.62,367410.1
te138,242947.47,437906.53,340427.0
te139,363970.6,558929.6,461450.12
te140,82190.305,277149.34,179669.83
te141,134556.75,329515.8,232036.28
te142,120703.195,315662.25,218182.72
te143,292874.2,487833.25,390353.72
te144,339212.25,534171.3,436691.78
te145,136669.44,331628.5,234148.97
te146,112804.85,307763.9,210284.38
te147,65500.1,260459.16,162979.62
te148,75949.76,270908.8,173429.28
te149,235785.62,430744.7,333265.16
te150,387905.12,582864.2,485384.66
te151,190837.47,385796.53,288317.0
te152,460116.53,655075.56,557596.06
te153,165389.47,360348.53,262869.0
te154,257571.22,452530.28,355050.75
te155,81981.21,276940.25,179460.73
te156,586539.44,781498.44,684018.94
te157,180819.78,375778.84,278299.3
te158,139276.16,334235.22,236755.69
te159,288766.0,483725.06,386245.53
te160,78660.88,273619.94,176140.4
te161,36551.336,231510.38,134030.86
te162,133972.62,328931.7,231452.16
te163,184398.0,379357.06,281877.53
te164,256587.25,451546.3,354066.78
te165,163771.25,358730.3,261250.78
te166,274808.22,469767.28,372287.75
te167,98722.99,293682.03,196202.52
te168,173605.62,368564.7,271085.16
te169,195957.34,390916.4,293436.88
te170,102174.77,297133.8,199654.3
te171,137035.28,331994.3,234514.8
te172,274689.28,469648.34,372168.8
te173,196875.84,391834.9,294355.38
te174,425996.88,620955.94,523476.4
te175,61307.227,256266.28,158786.75
te176,279131.62,474090.7,376611.16
te177,238825.78,433784.84,336305.3
te178,84124.52,279083.56,181604.05
te179,151345.22,346304.25,248824.73
te180,226063.62,421022.7,323543.16
te181,102844.02,297803.06,200323.55
te182,262914.22,457873.28,360393.75
te183,415132.2,610091.25,512611.72
te184,291459.9,486418.97,388939.44
te185,209131.34,404090.4,306610.88
te186,126127.49,321086.53,223607.02
te187,331622.3,526581.4,429101.84
te188,663659.06,858618.06,761138.56
te189,304281.03,499240.1,401760.56
te190,228323.62,423282.7,325803.16
te191,145199.69,340158.75,242679.22
te192,73155.32,268114.38,170634.84
te193,756411.8,951370.8,853891.3
te194,236912.66,431871.72,334392.2
te195,428332.97,623292.0,525812.5
te196,103535.65,298494.7,201015.17
te197,420185.9,615144.94,517665.44
te198,624651.06,819610.06,722130.56
te199,428347.97,623307.0,525827.5
te200,114100.93,309059.97,211580.45
te201,359518.84,554477.9,456998.38
te202,157588.22,352547.28,255067.75
te203,334462.7,529421.75,431942.22
te204,606860.1,801819.1,704339.6
te205,247087.78,442046.84,344567.3
te206,164058.44,359017.47,261537.95
te207,385229.12,580188.2,482708.66
te208,111629.15,306588.2,209108.67
te209,68906.35,263865.4,166385.88
te210,124859.07,319818.12,222338.6
te211,154984.94,349943.97,252464.45
te212,88450.85,283409.9,185930.38
te213,126216.65,321175.7,223696.17
te214,35423.1,230382.16,132902.62
te215,159731.47,354690.53,257211.0
te216,178685.66,373644.72,276165.2
te217,161468.12,356427.16,258947.64
te218,768129.94,963088.94,865609.44
te219,267114.12,462073.2,364593.66
te220,182933.25,377892.3,280412.78
te221,443654.22,638613.25,541133.75
te222,177137.4,372096.47,274616.94
te223,542508.0,737467.0,639987.5
te224,225892.4,420851.47,323371.94
te225,176680.0,371639.06,274159.53
te226,528386.56,723345.56,625866.06
te227,318590.0,513549.06,416069.53
te228,652439.94,847398.94,749919.44
te229,644180.4,839139.4,741659.9
te230,498793.84,693752.9,596273.4
te231,606212.2,801171.2,703691.7
te232,215033.84,409992.9,312513.38
te233,402159.44,597118.5,499638.97
te234,594622.94,789581.94,692102.44
te235,110606.04,305565.1,208085.56
te236,229831.25,424790.3,327310.78
te237,146508.75,341467.8,243988.28
te238,53251.914,248210.97,150731.44
te239,262534.62,457493.7,360014.16
te240,481181.34,676140.4,578660.9
te241,221356.0,416315.06,318835.53
te242,362868.66,557827.7,460348.2
te243,106871.26,301830.3,204350.78
te244,464801.84,659760.9,562281.4
te245,311123.06,506082.12,408602.6
te246,369346.38,564305.44,466825.9
te247,0.0,192105.14,94625.62
te248,218361.72,413320.78,315841.25
te249,299523.88,494482.94,397003.4
te250,235074.16,430033.22,332553.7
te251,294837.66,489796.72,392317.2
te252,286304.06,481263.12,383783.6
te253,269350.06,464309.12,366829.6
te254,402151.34,597110.4,499630.88
te255,194244.12,389203.2,291723.66
te256,272781.47,467740.53,370261.0
te257,464490.4,659449.44,561969.94
te258,271029.28,465988.34,368508.8
te259,229651.81,424610.88,327131.34
te260,257646.72,452605.78,355126.25
te261,83500.38,278459.44,180979.9
te262,134312.38,329271.4,231791.89
te263,187478.72,382437.78,284958.25
te264,201679.28,396638.34,299158.8
te265,270335.84,465294.9,367815.38
te266,135853.34,330812.4,233332.88
te267,158162.22,353121.25,255641.73
te268,224926.44,419885.5,322405.97
te269,117611.24,312570.28,215090.77
te270,374998.75,569957.8,472478.28
te271,332528.06,527487.1,430007.6
te272,203900.0,398859.06,301379.53
te273,332230.84,527189.9,429710.38
te274,235493.03,430452.1,332972.56
te275,165932.78,360891.84,263412.3
te276,211652.84,406611.9,309132.38
te277,271426.97,466386.03,368906.5
te278,290583.66,485542.72,388063.2
te279,726509.7,921468.7,823989.2
te280,457307.4,652266.44,554786.94
te281,133839.34,328798.4,231318.88
te282,331370.3,526329.4,428849.84
te283,158948.22,353907.25,256427.73
te284,93680.695,288639.75,191160.22
te285,220987.69,415946.75,318467.22
te286,207726.34,402685.4,305205.88
te287,158819.12,353778.16,256298.64
te288,262578.25,457537.3,360057.78
te289,130189.445,325148.5,227668.97
te290,165742.69,360701.75,263222.22
te291,56274.695,251233.75,153754.22
te292,204102.69,399061.75,301582.22
te293,193453.4,388412.47,290932.94
te294,182921.22,377880.28,280400.75
te295,79754.805,274713.84,177234.33
te296,97508.29,292467.34,194987.81
te297,167969.16,362928.22,265448.7
te298,178974.72,373933.78,276454.25
te299,203130.97,398090.03,300610.5
te300,329327.4,524286.47,426806.94
te301,296199.25,491158.3,393678.78
te302,0.0,178797.53,81318.016
te303,251316.4,446275.47,348795.94
te304,342212.72,537171.75,439692.25
te305,142344.03,337303.06,239823.55
te306,96293.52,291252.56,193773.05
te307,488466.6,683425.6,585946.1
te308,158679.6,353638.62,256159.11
te309,401398.12,596357.2,498877.66
te310,134602.34,329561.4,232081.88
te311,451180.28,646139.3,548659.8
te312,229295.12,424254.2,326774.66
te313,249187.72,444146.78,346667.25
te314,434344.9,629303.94,531824.44
te315,47798.805,242757.84,145278.33
te316,286033.7,480992.75,383513.22
te317,104114.85,299073.9,201594.38
te318,303008.3,497967.38,400487.84
te319,86968.914,281927.97,184448.44
te320,116080.32,311039.38,213559.84
te321,281844.78,476803.84,379324.3
te322,282142.25,477101.3,379621.78
te323,130027.96,324987.0,227507.48
te324,219224.38,414183.44,316703.9
te325,560837.75,755796.75,658317.25
te326,246740.62,441699.7,344220.16
te327,137504.75,332463.78,234984.27
te328,336322.03,531281.06,433801.56
te329,27687.516,222646.56,125167.04
te330,105963.164,300922.22,203442.69
te331,516028.4,710987.44,613507.94
te332,106633.63,301592.7,204113.16
te333,337935.6,532894.6,435415.12
te334,220975.56,415934.62,318455.1
te335,237686.88,432645.94,335166.4
te336,225971.69,420930.75,323451.22
te337,345945.78,540904.8,443425.3
te338,226075.97,421035.03,323555.5
te339,221347.5,416306.56,318827.03
te340,490694.9,685653.94,588174.44
te341,332419.0,527378.06,429898.53
te342,82553.24,277512.28,180032.77
te343,166617.72,361576.78,264097.25
te344,119814.445,314773.5,217293.97
te345,189256.12,384215.2,286735.66
te346,191484.34,386443.4,288963.88
te347,164488.53,359447.6,261968.06
te348,310209.12,505168.2,407688.66
te349,177702.9,372661.97,275182.44
te350,454951.66,649910.7,552431.2
te351,764519.3,959478.3,861998.8
te352,131951.22,326910.28,229430.75
te353,227462.53,422421.6,324942.06
te354,455532.53,650491.56,553012.06
te355,394111.7,589070.75,491591.22
te356,109912.04,304871.1,207391.56
te357,286950.97,481910.03,384430.5
te358,43306.742,238265.78,140786.27
te359,709923.7,904882.7,807403.2
te360,248774.38,443733.44,346253.9
te361,265757.12,460716.2,363236.66
te362,306073.16,501032.22,403552.7
te363,300322.03,495281.1,397801.56
te364,291885.6,486844.66,389365.12
te365,393031.3,587990.4,490510.84
te366,230738.69,425697.75,328218.22
te367,174328.66,369287.72,271808.2
te368,594255.4,789214.4,691734.9
te369,190466.5,385425.56,287946.03
te370,159318.22,354277.28,256797.75
te371,158103.72,353062.75,255583.23
te372,144409.69,339368.75,241889.22
te373,160262.34,355221.4,257741.88
te374,84650.76,279609.8,182130.28
te375,156562.78,351521.84,254042.31
te376,224223.72,419182.78,321703.25
te377,49817.086,244776.12,147296.61
te378,240966.34,435925.4,338445.88
te379,113975.664,308934.72,211455.19
te380,244081.75,439040.8,341561.28
te381,265222.66,460181.72,362702.2
te382,63315.086,258274.12,160794.61
te383,301424.12,496383.2,398903.66
te384,588682.44,783641.44,686161.94
te385,153015.22,347974.25,250494.73
te386,144066.47,339025.5,241545.98
te387,299556.44,494515.5,397035.97
te388,343410.25,538369.3,440889.78
te389,395634.44,590593.5,493113.97
te390,345148.5,540107.56,442628.03
te391,729515.44,924474.44,826994.94
te392,169188.6,364147.66,266668.12
te393,12477.594,207436.64,109957.12
te394,554121.3,749080.3,651600.8
te395,284687.2,479646.25,382166.72
te396,453631.4,648590.44,551110.94
te397,213713.34,408672.4,311192.88
te398,485311.22,680270.25,582790.75
te399,137141.53,332100.6,234621.06
te400,308436.56,503395.62,405916.1
te401,310921.66,505880.72,408401.2
te402,239964.66,434923.72,337444.2
te403,167228.19,362187.25,264707.72
te404,475837.22,670796.25,573316.75
te405,230518.1,425477.16,327997.62
te406,544726.1,739685.1,642205.6
te407,133505.38,328464.44,230984.9
te408,288374.62,483333.7,385854.16
te409,252121.97,447081.03,349601.5
te410,169098.56,364057.62,266578.1
te411,343822.5,538781.56,441302.03
te412,369296.94,564256.0,466776.47
te413,102313.055,297272.1,199792.58
te414,176493.12,371452.2,273972.66
te415,214731.19,409690.25,312210.72
te416,636192.94,831151.94,733672.44
te417,116062.805,311021.84,213542.33
te418,217221.6,412180.66,314701.12
te419,220124.5,415083.56,317604.03
te420,135441.16,330400.22,232920.69
te421,228068.62,423027.7,325548.16
te422,262955.12,457914.2,360434.66
te423,293462.47,488421.53,390942.0
te424,308378.1,503337.16,405857.62
te425,302297.0,497256.06,399776.53
te426,135088.03,330047.06,232567.55
te427,141089.84,336048.88,238569.36
te428,195999.62,390958.7,293479.16
te429,347356.66,542315.7,444836.2
te430,304939.44,499898.5,402418.97
te431,258684.94,453644.0,356164.47
te432,122637.04,317596.1,220116.56
te433,76384.63,271343.7,173864.16
te434,240685.97,435645.03,338165.5
te435,137298.0,332257.03,234777.52
te436,131704.78,326663.8,229184.3
te437,200530.0,395489.06,298009.53
te438,357285.47,552244.5,454765.0
te439,119819.62,314778.66,217299.14
te440,283844.72,478803.78,381324.25
te441,320158.3,515117.38,417637.84
te442,625240.75,820199.75,722720.25
te443,181062.75,376021.8,278542.28
te444,410927.22,605886.25,508406.75
te445,356682.16,551641.2,454161.7
te446,130912.086,325871.12,228391.61
te447,572460.3,767419.3,669939.8
te448,175573.9,370532.97,273053.44
te449,227416.69,422375.75,324896.22
te450,126131.96,321091.0,223611.48
te451,189607.72,384566.78,287087.25
te452,383017.62,577976.7,480497.16
te453,145495.66,340454.7,242975.17
te454,338637.06,533596.1,436116.6
te455,185155.75,380114.8,282635.28
te456,338366.4,533325.44,435845.94
te457,307261.8,502220.88,404741.34
te458,202286.16,397245.22,299765.7
te459,179715.78,374674.84,277195.3
te460,201020.38,395979.44,298499.9
te461,322831.0,517790.06,420310.53
te462,391009.03,585968.06,488488.56
te463,368260.44,563219.5,465739.97
te464,361508.8,556467.9,458988.34
te465,171459.84,366418.9,268939.38
te466,302191.78,497150.84,399671.3
te467,330293.6,525252.6,427773.12
te468,333801.62,528760.7,431281.16
te469,549118.3,744077.3,646597.8
te470,169297.47,364256.53,266777.0
te471,183356.62,378315.7,280836.16
te472,157778.5,352737.56,255258.03
te473,189278.53,384237.6,286758.06
te474,236243.94,431203.0,333723.47
te475,92393.414,287352.47,189872.94
te476,178577.16,373536.22,276056.7
te477,430685.53,625644.56,528165.06
te478,229072.69,424031.75,326552.22
te479,71254.87,266213.9,168734.39
te480,13462.883,208421.94,110942.41
te481,94900.37,289859.4,192379.89
te482,353363.22,548322.25,450842.75
te483,316445.72,511404.78,413925.25
te484,63322.9,258281.94,160802.42
te485,194375.75,389334.8,291855.28
te486,180474.72,375433.78,277954.25
te487,169388.81,364347.88,266868.34
te488,417841.28,612800.3,515320.8
te489,81990.79,276949.84,179470.31
te490,369403.8,564362.9,466883.34
te491,309204.53,504163.6,406684.06
te492,322518.47,517477.53,419998.0
te493,126251.21,321210.25,223730.73
te494,98524.38,293483.44,196003.9
te495,255508.03,450467.1,352987.56
te496,174654.4,369613.47,272133.94
te497,102287.336,297246.38,199766.86
te498,394438.1,589397.1,491917.62
te499,382701.53,577660.56,480181.06
te500,347020.34,541979.4,444499.88
te501,78652.32,273611.38,176131.84
te502,274615.8,469574.88,372095.34
te503,661410.7,856369.7,758890.2
te504,242488.72,437447.78,339968.25
te505,387809.78,582768.8,485289.3
te506,284965.0,479924.06,382444.53
te507,58142.32,253101.38,155621.84
te508,325209.47,520168.53,422689.0
te509,186326.62,381285.7,283806.16
te510,259923.12,454882.2,357402.66
te511,139339.19,334298.22,236818.7
te512,283254.25,478213.3,380733.78
te513,124404.29,319363.34,221883.81
te514,66740.32,261699.38,164219.84
te515,322521.25,517480.3,420000.78
te516,94277.586,289236.62,191757.11
te517,327553.97,522513.03,425033.5
te518,457202.66,652161.7,554682.2
te519,151882.56,346841.62,249362.1
te520,174697.75,369656.8,272177.28
te521,227980.78,422939.84,325460.3
te522,161274.34,356233.38,258753.86
te523,161753.25,356712.3,259232.78
te524,87063.4,282022.44,184542.92
te525,311774.34,506733.4,409253.88
te526,459878.9,654837.94,557358.44
te527,241772.62,436731.7,339252.16
te528,377406.97,572366.0,474886.5
te529,153309.94,348268.97,250789.45
te530,166409.25,361368.3,263888.78
te531,123575.914,318534.97,221055.44
te532,255918.28,450877.34,353397.8
te533,315680.6,510639.66,413160.12
te534,333533.53,528492.56,431013.06
te535,13463.305,208422.34,110942.83
te536,296306.66,491265.72,393786.2
te537,445314.4,640273.44,542793.94
te538,165836.6,360795.66,263316.12
te539,53035.445,247994.5,150514.97
te540,332938.34,527897.4,430417.88
te541,165275.19,360234.25,262754.72
te542,176451.84,371410.9,273931.38
te543,229553.25,424512.3,327032.78
te544,321503.5,516462.56,418983.03
te545,234421.47,429380.53,331901.0
te546,219069.47,414028.53,316549.0
te547,669387.4,864346.4,766866.9
te548,259394.84,454353.9,356874.38
te549,177612.38,372571.44,275091.9
te550,89899.305,284858.34,187378.83
te551,151763.94,346722.97,249243.45
te552,144686.9,339645.97,242166.44
te553,88951.02,283910.06,186430.55
te554,192101.47,387060.53,289581.0
te555,226904.28,421863.34,324383.8
te556,206237.1,401196.16,303716.62
te557,76924.18,271883.22,174403.7
te558,133624.81,328583.84,231104.33
te559,406051.28,601010.3,503530.8
te560,148479.62,343438.66,245959.14
te561,118766.336,313725.38,216245.86
te562,143176.16,338135.22,240655.69
te563,390609.5,585568.56,488089.03
te564,134010.16,328969.22,231489.69
te565,223693.06,418652.12,321172.6
te566,218173.84,413132.9,315653.38
te567,512076.03,707035.06,609555.56
te568,219815.4,414774.47,317294.94
te569,280836.8,475795.88,378316.34
te570,116636.43,311595.47,214115.95
te571,355293.97,550253.0,452773.5
te572,395976.9,590935.94,493456.44
te573,39864.664,234823.72,137344.19
te574,248745.66,443704.72,346225.2
te575,111465.9,306424.94,208945.42
te576,222254.88,417213.94,319734.4
te577,180711.25,375670.3,278190.78
te578,270612.0,465571.06,368091.53
te579,138942.69,333901.75,236422.22
te580,267813.3,462772.38,365292.84
te581,261663.62,456622.7,359143.16
te582,119900.04,314859.1,217379.56
te583,423373.03,618332.06,520852.56
te584,263115.34,458074.4,360594.88
te585,485874.47,680833.5,583354.0
te586,136800.78,331759.84,234280.31
te587,181464.69,376423.75,278944.22
te588,263395.72,458354.78,360875.25
te589,256193.06,451152.12,353672.6
te590,106073.586,301032.62,203553.11
te591,673454.1,868413.1,770933.6
te592,518326.22,713285.25,615805.75
te593,274121.12,469080.2,371600.66
te594,200899.44,395858.5,298378.97
te595,144837.31,339796.34,242316.83
te596,327564.53,522523.6,425044.06
te597,644868.9,839827.9,742348.4
te598,475049.28,670008.3,572528.8
te599,162872.88,357831.94,260352.4
te600,626971.44,821930.44,724450.94
te601,64286.85,259245.9,161766.38
te602,264360.3,459319.38,361839.84
te603,250305.97,445265.03,347785.5
te604,220372.38,415331.44,317851.9
te605,370091.34,565050.4,467570.88
te606,218064.56,413023.62,315544.1
te607,229560.12,424519.2,327039.66
te608,274522.88,469481.94,372002.4
te609,427544.78,622503.8,525024.3
te610,173464.75,368423.8,270944.28
te611,313191.6,508150.66,410671.12
te612,687671.94,882630.94,785151.44
te613,139649.25,334608.28,237128.77
te614,109970.98,304930.03,207450.5
te615,221810.62,416769.7,319290.16
te616,258934.0,453893.06,356413.53
te617,296193.62,491152.7,393673.16
te618,281198.5,476157.56,378678.03
te619,476448.78,671407.8,573928.3
te620,587406.3,782365.3,684885.8
te621,80138.23,275097.28,177617.75
te622,410485.22,605444.25,507964.75
te623,198169.72,393128.78,295649.25
te624,157125.0,352084.06,254604.53
te625,276695.4,471654.47,374174.94
te626,273100.12,468059.2,370579.66
te627,393708.7,588667.75,491188.22
te628,226970.19,421929.25,324449.72
te629,88808.32,283767.38,186287.84
te630,200575.22,395534.28,298054.75
te631,278284.56,473243.62,375764.1
te632,282676.62,477635.7,380156.16
te633,21334.227,216293.28,118813.75
te634,209425.06,404384.12,306904.6
te635,43378.867,238337.9,140858.39
te636,362970.06,557929.1,460449.6
te637,93225.664,288184.72,190705.19
te638,194898.38,389857.44,292377.9
te639,163848.5,358807.56,261328.03
te640,460701.78,655660.8,558181.3
te641,129227.02,324186.06,226706.55
te642,364100.88,559059.94,461580.4
te643,220850.75,415809.8,318330.28
te644,498590.28,693549.3,596069.8
te645,118289.43,313248.47,215768.95
te646,150469.47,345428.53,247949.0
te647,331267.25,526226.3,428746.78
te648,231864.34,426823.4,329343.88
te649,51282.586,246241.62,148762.11
te650,35302.117,230261.16,132781.64
te651,235265.44,430224.5,332744.97
te652,130717.88,325676.94,228197.4
te653,113878.49,308837.53,211358.02
te654,492189.4,687148.44,589668.94
te655,199428.78,394387.84,296908.3
te656,199362.81,394321.88,296842.34
te657,58580.46,253539.5,156059.98
te658,125866.414,320825.47,223345.94
te659,308224.84,503183.9,405704.38
te660,359490.97,554450.0,456970.5
te661,161327.66,356286.7,258807.17
te662,362420.2,557379.25,459899.72
te663,385366.78,580325.8,482846.3
te664,238383.47,433342.53,335863.0
te665,216363.22,411322.28,313842.75
te666,277280.72,472239.78,374760.25
te667,168434.34,363393.4,265913.88
te668,431638.34,626597.4,529117.9
te669,442592.72,637551.75,540072.25
te670,200876.66,395835.72,298356.2
te671,135630.72,330589.75,233110.23
te672,577923.4,772882.4,675402.9
te673,18368.352,213327.4,115847.875
te674,164553.5,359512.56,262033.03
te675,329629.12,524588.2,427108.66
te676,173905.4,368864.47,271384.94
te677,8396.352,203355.4,105875.875
te678,500440.1,695399.1,597919.6
te679,175823.5,370782.56,273303.03
te680,216982.5,411941.56,314462.03
te681,305399.84,500358.9,402879.38
te682,208049.6,403008.66,305529.12
te683,225708.38,420667.44,323187.9
te684,99613.62,294572.66,197093.14
te685,165040.0,359999.06,262519.53
te686,200150.84,395109.9,297630.38
te687,277363.28,472322.34,374842.8
te688,257444.6,452403.66,354924.12
te689,301601.44,496560.5,399080.97
te690,431065.4,626024.44,528544.94
te691,166151.44,361110.5,263630.97
te692,273128.03,468087.1,370607.56
te693,219160.34,414119.4,316639.88
te694,216695.31,411654.38,314174.84
te695,269637.06,464596.12,367116.6
te696,181967.12,376926.2,279446.66
te697,342401.44,537360.5,439880.97
te698,264032.28,458991.34,361511.8
te699,241904.62,436863.7,339384.16
te700,145389.1,340348.12,242868.61
te701,195494.31,390453.38,292973.84
te702,202465.75,397424.8,299945.28
te703,246462.03,441421.1,343941.56
te704,514960.34,709919.4,612439.9
te705,208968.22,403927.28,306447.75
te706,274164.38,469123.44,371643.9
te707,394452.66,589411.7,491932.2
te708,493065.66,688024.7,590545.2
te709,328372.34,523331.4,425851.88
te710,104496.26,299455.3,201975.78
te711,272041.75,467000.8,369521.28
te712,216054.19,411013.25,313533.72
te713,38359.086,233318.12,135838.61
te714,229467.81,424426.88,326947.34
te715,208280.75,403239.8,305760.28
te716,185054.69,380013.75,282534.22
te717,158187.1,353146.12,255666.61
te718,278533.0,473492.06,376012.53
te719,179859.88,374818.94,277339.4
te720,318736.44,513695.5,416215.97
te721,213909.28,408868.34,311388.8
te722,322224.56,517183.62,419704.1
te723,568876.75,763835.75,666356.25
te724,186575.75,381534.8,284055.28
te725,271383.0,466342.06,368862.53
te726,112370.52,307329.56,209850.05
te727,399167.47,594126.5,496647.0
te728,0.0,183787.94,86308.42
te729,304604.16,499563.22,402083.7
te730,354701.94,549661.0,452181.47
te731,480819.47,675778.5,578299.0
te732,266709.25,461668.3,364188.78
te733,280666.22,475625.28,378145.75
te734,221465.5,416424.56,318945.03
te735,125768.02,320727.06,223247.55
te736,54796.32,249755.38,152275.84
te737,194104.5,389063.56,291584.03
te738,184111.6,379070.66,281591.12
te739,53221.742,248180.78,150701.27
te740,412651.38,607610.44,510130.9
te741,139219.28,334178.3,236698.8
te742,265435.1,460394.16,362914.62
te743,221723.53,416682.6,319203.06
te744,168508.9,363467.97,265988.44
te745,288927.72,483886.78,386407.25
te746,110292.93,305251.97,207772.45
te747,250959.0,445918.06,348438.53
te748,188652.97,383612.03,286132.5
te749,296203.03,491162.1,393682.56
te750,67239.57,262198.62,164719.1
te751,388874.97,583834.0,486354.5
te752,543513.4,738472.4,640992.9
te753,156834.75,351793.8,254314.28
te754,172076.34,367035.4,269555.88
te755,250159.4,445118.47,347638.94
te756,147006.75,341965.78,244486.27
te757,59670.117,254629.16,157149.64
te758,359134.62,554093.7,456614.16
te759,153095.5,348054.53,250575.02
te760,400991.5,595950.56,498471.03
te761,370129.25,565088.3,467608.78
te762,395066.7,590025.75,492546.22
te763,201421.19,396380.25,298900.72
te764,443189.97,638149.0,540669.5
te765,167712.06,362671.12,265191.6
te766,188753.69,383712.75,286233.22
te767,317468.2,512427.25,414947.72
te768,250931.4,445890.47,348410.94
te769,175983.84,370942.9,273463.38
te770,78778.01,273737.06,176257.53
te771,293848.16,488807.22,391327.7
te772,278303.22,473262.28,375782.75
te773,443153.34,638112.4,540632.9
te774,306553.38,501512.44,404032.9
te775,358651.94,553611.0,456131.47
